a,b,c,d,e
complex2,lrc2,mogpl3,mlbda2,mapsi4
complex1,lrc1,mogpl4,mapsi2,mlbda1
bima1,complex1,lrc2,mogpl4,mapsi4
bima1,complex1,lrc2,mogpl4,mapsi4
lrc4,mogpl1,mapsi2,mlbda1,il5
complex1,lrc1,mogpl4,mapsi2,mlbda1
complex1,lrc1,mogpl4,mlbda1,mapsi4
aagb1,lrc2,mogpl4,mapsi2,il5
aagb1,lrc2,mogpl4,mapsi2,il5
complex1,lrc1,mogpl2,mlbda1,mapsi2
complex1,lrc1,mogpl2,mapsi2,mlbda1
aagb1,complex1,lrc1,mogpl4,mapsi2
lrc2,mogpl3,mapsi4,mlbda3,il2
lrc4,mogpl1,mapsi1,mlbda4,il3
bima1,lrc4,mogpl4,mapsi4,il1
bima1,lrc4,mogpl1,mapsi1,il3
bima1,complex1,lrc2,mogpl4,mlbda1
lrc4,mogpl3,mapsi1,mlbda4,il3
lrc1,mogpl4,mapsi1,mlbda3,il5
complex1,lrc2,mogpl3,mapsi2,mlbda1
complex1,lrc2,mogpl3,mapsi1,mlbda4
lrc1,mogpl4,mapsi1,mlbda3,il5
bima1,lrc4,mogpl1,mapsi1,il3
bima1,complex1,lrc1,mogpl4,mapsi4
complex1,lrc2,mogpl2,mapsi2,mlbda1
complex2,lrc1,mogpl3,mapsi2,mlbda2
lrc3,mlbda1,il3,0,0
complex1,lrc2,mogpl3,mapsi2,mlbda4
mlbda3,il5,0,0,0
aagb1,complex1,mogpl4,mapsi2,0
lrc4,mogpl3,mapsi4,mlbda2,0
complex1,lrc1,mogpl3,mapsi4,mlbda4
aagb1,lrc2,mogpl4,mapsi2,0
mogpl4,mlbda2,mapsi4,0,0
complex1,lrc1,mogpl2,mlbda1,mapsi2
complex1,lrc2,mogpl2,mapsi2,0
complex2,lrc2,mogpl2,mapsi2,mlbda2
complex2,mogpl1,mapsi4,lrc5,il5
complex2,mogpl1,mapsi2,lrc5,il5
complex2,mogpl1,mapsi2,lrc5,pb
mogpl4,mlbda2,mapsi2,0,0
complex2,mogpl1,mapsi2,lrc5,il5
bima1,complex1,mogpl4,mapsi1,lrc2
mapsi4,il1,0,0,0
complex1,mogpl2,mapsi1,mlbda4,lrc2
complex1,mogpl2,mapsi2,mlbda1,lrc2
complex1,mogpl4,mlbda1,mapsi2,lrc2
bima1,complex2,mogpl1,lrc5,il3
