a,b,c,d,e
aagb1,maths4m0621,complex2,mapsi4,il5
aagb1,maths4m0621,bima1,mapsi4,lrc4
model1,lrc3,0,0,0
mapsi4,mlbda3,il4,0,0
mapsi4,lrc2,mlbda1,0,0
complex1,mogpl3,il3,0,0
aagb1,maths4m0621,mapsi2,lrc4,il5
aagb1,maths4m0621,bima1,complex2,mapsi4
maths4m0621,mapsi4,mogpl4,il1,0
aagb1,maths4m0621,mapsi2,mogpl4,lrc4
mapsi1,mlbda4,il3,0,0
aagb1,maths4m0621,bima1,mapsi2,mogpl4
aagb1,maths4m0621,bima1,mapsi2,mogpl4
aagb1,maths4m0621,mapsi2,mogpl4,il5
aagb1,maths4m0621,mapsi2,lrc4,0
aagb1,maths4m0621,complex2,mapsi4,il5
algav2,mapsi1,mogpl3,0,0
aagb1,maths4m0621,mapsi2,mogpl2,lrc4
aagb1,maths4m0621,bima1,mapsi4,lrc4
aagb1,maths4m0621,mapsi4,lrc4,il5
aagb1,maths4m0621,mapsi2,mogpl4,lrc4
aagb1,maths4m0621,mapsi4,lrc4,il5
aagb1,maths4m0621,mapsi4,il5,lrc4
aagb1,maths4m0621,bima1,mapsi4,lrc4
aagb1,maths4m0621,bima1,complex2,mapsi2
