a,b,c,d,e
lrc2,mlbda3,mapsi1,mogpl3,il3
complex1,lrc2,mlbda4,mogpl3,mapsi1
lrc1,mlbda4,mapsi1,mogpl2,il3
bima1,complex2,lrc1,mlbda2,mapsi4
lrc1,mlbda4,mapsi1,mogpl2,il3
lrc1,mlbda4,mapsi1,mogpl2,il3
model1,lrc2,mlbda1,mapsi4,il5
lrc2,mlbda4,mogpl3,mapsi4,il2
bima1,lrc2,mlbda3,mapsi2,il1
lrc1,mlbda3,mapsi2,mogpl4,il1
lrc4,mlbda4,mapsi4,mogpl2,il1
lrc2,mlbda3,mogpl4,mapsi1,il3
lrc4,mlbda4,mapsi2,mogpl1,il1
lrc2,mlbda3,mogpl2,mapsi2,il1
bima1,lrc1,mlbda3,mapsi2,il2
lrc4,mlbda4,mapsi1,mogpl3,il3
lrc4,mlbda4,mapsi4,mogpl1,il5
lrc4,mlbda4,mapsi1,mogpl1,il5
lrc1,mlbda3,mogpl3,mapsi4,0
lrc1,mlbda4,mapsi1,il5,0
model1,lrc1,mlbda1,mapsi2,il5
complex2,mogpl1,0,0,0
model1,complex1,lrc1,mlbda1,mapsi4
mapsi1,mogpl1,0,0,0
mlbda3,il4,0,0,0
bima1,mlbda3,mapsi1,lrc2,il3
mlbda4,mapsi1,mogpl2,lrc5,il3
mlbda4,mapsi4,mogpl1,lrc4,il1
model1,mlbda1,mapsi4,lrc2,il5
complex1,mlbda1,mapsi2,mogpl2,lrc2
mlbda4,mapsi4,mogpl1,lrc5,il2
mapsi4,mogpl1,0,0,0
mlbda3,lrc3,il2,0,0
model1,mlbda1,mogpl1,lrc3,il3
mlbda3,mapsi4,mogpl4,lrc2,il1
model1,mlbda1,mapsi2,il5,0
mlbda4,mapsi2,mogpl1,lrc4,il5
