a,b,c,d,e
dlp3,pr1,archi13,noyau2,ares5
dlp1,pr3,noyau3,ares5,il4
rtel1,pr2,noyau2,ares5,il5
pr3,archi11,lrc4,noyau3,il2
pr3,mlbda1,lrc4,noyau2,il5
mlbda1,noyau2,0,0,0
complex1,algav1,pr3,archi14,noyau4
algav3,dlp3,pr1,archi12,noyau4
dlp3,algav3,pr1,archi13,noyau3
dlp3,pr1,archi13,noyau2,ares5
pr1,noyau3,ares4,0,0
rtel1,pr4,noyau3,il5,0
pr2,archi14,noyau3,ares5,il3
pr3,mlbda3,0,0,0
algav3,dlp2,pr2,noyau2,ares3
dlp2,mlbda2,noyau2,0,0
dlp2,pr3,mlbda3,noyau2,il4
pr4,mlbda3,noyau3,il5,lrc5
pr4,mlbda3,noyau3,il5,lrc5
mobj2,pr3,noyau3,ares3,0
rtel1,pr3,noyau5,ares5,il4
pr4,archi11,noyau2,ares5,il4
dlp1,pr3,mlbda2,noyau3,ares5
dlp2,pr3,mlbda3,noyau2,il4
rtel1,pr3,noyau5,ares5,il4
complex1,rtel1,pr3,noyau2,ares4
dlp1,algav2,pr2,noyau2,il2
pr4,mlbda1,noyau5,il3,lrc4
mlbda2,0,0,0,0
pr1,mlbda1,lrc3,0,0
dlp3,algav3,pr2,noyau5,il1
algav3,dlp3,pr2,noyau5,il1
algav3,pr4,noyau5,ares3,0
