a,b,c,d,e
algav1,dlp1,mlbda3,lrc1,il1
algav1,dlp1,pr3,lrc4,il2
algav3,dlp2,mlbda1,pr3,il4
algav1,dlp1,lrc4,pr3,il2
algav1,dlp2,mlbda1,pr4,il4
algav3,dlp2,mlbda1,pr4,il4
algav2,dlp2,pr4,lrc3,il1
algav2,dlp1,lrc3,mogpl1,il1
algav1,dlp1,mlbda3,pr3,il4
complex2,algav1,dlp2,mogpl1,il4
algav3,dlp2,mlbda1,mogpl4,il4
algav2,dlp3,mlbda1,il4,noyau5
algav3,dlp3,pr2,noyau3,il2
algav1,dlp3,lrc1,mlbda3,il1
algav1,dlp1,mlbda4,lrc4,il1
algav1,dlp1,lrc2,mogpl4,il1
algav2,dlp1,mlbda1,pr3,il4
algav3,dlp2,pr4,lrc3,il2
algav2,dlp2,pr2,noyau2,il2
algav2,dlp2,lrc3,pr4,il2
algav1,dlp1,mlbda3,pr1,0
algav3,dlp2,mlbda1,pr3,il4
complex1,dlp1,lrc3,mogpl4,0
algav1,dlp1,noyau4,0,0
algav2,dlp2,0,0,0
algav1,dlp3,mlbda1,lrc4,pr1
algav3,dlp3,mlbda1,il4,noyau3
dlp1,mlbda3,pr1,0,0
pr1,0,0,0,0
algav1,mlbda2,0,0,0
dlp1,pr2,0,0,0
algav2,dlp3,il2,lrc5,noyau3
il3,lrc5,0,0,0
model1,algav1,0,0,0
algav1,dlp3,mlbda3,il2,lrc5
algav2,dlp2,mogpl1,il1,lrc3
algav1,dlp1,mlbda3,lrc5,il1
aagb1,algav1,dlp3,il5,lrc4
algav1,dlp2,mlbda3,il1,lrc5
algav1,dlp2,pr1,mogpl4,lrc4
algav3,dlp2,pr3,il2,noyau3
algav2,dlp1,mlbda2,0,0
algav2,mlbda4,pr1,lrc3,0
algav3,dlp1,mlbda4,il2,lrc3
algav1,dlp1,mlbda4,il1,lrc4
complex2,algav1,dlp1,pr1,noyau4
model1,algav1,dlp3,pr1,noyau4
algav2,dlp1,mlbda1,il4,noyau3
algav1,dlp2,mlbda3,lrc1,il2
algav1,dlp1,mlbda4,il4,ares5
algav3,dlp3,lrc3,0,0
aagb1,algav1,dlp2,mogpl4,lrc5
algav1,dlp2,mlbda4,il2,lrc2
algav2,dlp1,noyau2,il1,0
algav3,dlp3,mlbda2,mapsi1,lrc1
algav3,dlp2,pr3,mlbda1,il4
algav3,dlp1,mlbda1,pr3,il4
algav1,dlp3,mlbda3,il1,lrc5
algav2,dlp3,pr2,archi12,il2
