num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mogpl3,lrc1,,complex2,mlbda2,mapsi4,,
2,mogpl2,lrc2,,complex2,mapsi2,mlbda2,,
3,mogpl4,lrc2,,bima1,complex1,mapsi1,,
4,mogpl4,lrc1,,bima1,complex1,mapsi1,,
5,mogpl2,lrc2,,mapsi1,mlbda3,il3,,
6,mogpl2,lrc1,,complex1,mapsi3,mlbda1,,
7,mogpl2,lrc1,,complex2,mlbda2,mapsi4,,
8,mogpl4,lrc4,,aagb1,mapsi5,il3,,
9,mogpl1,lrc4,,aagb1,mapsi5,il3,,
10,mogpl2,lrc2,,complex1,mlbda4,mapsi1,,
11,mogpl4,lrc1,,complex1,mapsi5,mlbda1,,
12,mogpl3,lrc2,,aagb1,complex1,mapsi2,,
13,mogpl4,lrc2,,mapsi1,mlbda3,il5,,
14,mogpl1,lrc4,,mapsi3,mlbda1,il5,,
15,mogpl4,lrc4,,bima1,mapsi1,il3,,
16,mogpl4,lrc4,,bima1,mapsi1,il3,,
17,mogpl4,lrc1,,bima1,complex1,mlbda1,,
18,mogpl3,lrc2,,mapsi1,mlbda3,il3,,
19,mogpl3,lrc2,,mapsi4,mlbda3,il2,,
20,mogpl3,lrc1,,complex1,mapsi4,mlbda1,,
21,mogpl2,lrc2,,complex2,mapsi2,mlbda2,,
22,mogpl2,lrc2,,mapsi3,mlbda3,il1,,
23,mogpl1,lrc4,,bima1,mapsi4,il1,,
24,mogpl4,lrc1,,bima1,complex1,mapsi1,,
25,mogpl3,lrc2,,complex2,mapsi4,mlbda2,,
26,mogpl3,lrc1,,complex2,mapsi3,mlbda2,,
27,lrc3,,,mlbda4,il3,,,
28,mogpl2,lrc1,,complex1,mapsi4,mlbda1,,
29,,,,mlbda1,il4,,,
30,mogpl2,,,aagb1,complex1,mapsi2,,
31,mogpl4,lrc2,,mapsi1,mlbda2,,,
32,mogpl2,lrc1,,complex2,mapsi3,mlbda2,,
33,mogpl4,lrc4,,aagb1,mapsi3,,,
34,mogpl1,,,mlbda2,mapsi3,,,
35,mogpl2,lrc1,,complex2,mlbda2,mapsi2,,
36,mogpl4,lrc2,,complex1,mapsi1,,,
37,mogpl2,lrc1,,complex1,mapsi1,mlbda4,,
38,lrc1,mogpl2,,complex1,mapsi3,ilX,,
39,lrc2,mogpl4,,complexX,mapsi2,il2,,
40,lrc2,mogpl3,,complex1,mapsi1,,,
41,mogpl3,,,mlbda2,mapsi2,,,
42,lrc1,mogpl3,,complexX,mapsi4,il2,,
43,lrc2,mogpl4,,bima1,complex1,mapsi1,,
44,,,,mapsi1,il5,,,
45,lrc2,mogpl3,,complex1,mapsi1,mlbda4,,
46,lrc2,mogpl4,,complex1,mapsi4,mlbda1,,
47,lrc1,mogpl3,,complex2,mlbda2,mapsi4,,
48,lrc3,mogpl2,,bimaX,complex2,il3,,
