num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mapsi5,maths4m0621,aagb1,complex2,il3,,,
2,mapsi4,maths4m0621,aagb1,bima1,lrc4,,,
3,,,,model1,lrc3,,,
4,mapsi5,,,mlbda3,il1,,,
5,mapsi5,,,lrc4,mlbda2,,,
6,,,,complex2,mogpl1,il5,,
7,mapsi5,maths4m0621,aagb1,lrc4,il3,,,
8,mapsi2,maths4m0621,aagb1,bima1,complex2,,,
9,mapsi4,maths4m0621,,mogpl2,il1,,,
10,mapsi4,maths4m0621,aagb1,mogpl2,lrc4,,,
11,mapsi4,,,mlbda1,il4,,,
12,mapsi2,maths4m0621,aagb1,bima1,mogpl4,,,
13,mapsi2,maths4m0621,aagb1,bima1,mogpl4,,,
14,mapsi5,maths4m0621,aagb1,mogpl4,il3,,,
15,mapsi4,maths4m0621,aagb1,lrc4,,,,
16,mapsi5,maths4m0621,aagb1,complex2,il3,,,
17,mapsi3,,,algav2,mogpl1,,,
18,mapsi2,maths4m0621,aagb1,mogpl2,lrc4,,,
19,mapsi2,maths4m0621,aagb1,bima1,lrc4,,,
20,mapsi2,maths4m0621,aagb1,lrc4,il5,,,
21,mapsi4,maths4m0621,aagb1,mogpl2,lrc4,,,
22,mapsi5,maths4m0621,aagb1,lrc4,il3,,,
23,mapsi5,maths4m0621,aagb1,il3,lrc4,,,
24,mapsi4,maths4m0621,aagb1,bima1,lrc4,,,
25,mapsi2,maths4m0621,aagb1,bima1,complex2,,,
