num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mlbda3,lrc1,,mapsi2,mogpl3,il1,,
2,mlbda1,lrc2,,complex1,mogpl3,mapsi3,,
3,mlbda4,lrc4,,mapsi2,mogpl1,il1,,
4,mlbda4,lrc1,,bima1,complex1,mapsi1,,
5,mlbda3,lrc2,,mapsi1,mogpl2,il3,,
6,mlbda3,lrc1,,mapsi4,mogpl2,il1,,
7,mlbda1,lrc1,,model1,mapsi5,il3,,
8,mlbda4,lrc4,,mogpl1,mapsi2,il1,,
9,mlbda3,lrc1,,bima1,mapsi4,il1,,
10,mlbda3,lrc2,,mapsi2,mogpl2,il2,,
11,mlbda3,lrc1,,mapsi1,mogpl2,il3,,
12,mlbda4,lrc1,,mogpl2,mapsi4,il1,,
13,mlbda4,lrc4,,mapsi2,mogpl1,il1,,
14,mlbda4,lrc4,,mogpl1,mapsi1,il5,,
15,mlbda3,lrc2,,bima1,mapsi4,il1,,
16,mlbda4,lrc4,,mapsi1,mogpl1,il5,,
17,mlbda4,lrc1,,mapsi4,mogpl3,il1,,
18,mlbda4,lrc1,,mapsi2,mogpl3,il1,,
19,mlbda2,lrc4,,mogpl1,mapsi1,,,
20,mlbda4,lrc4,,mapsi1,il5,,,
21,mlbda1,lrc2,,model1,mapsi3,il5,,
22,,,,complex1,mogpl2,,,
23,mlbda2,lrc1,,model1,complex2,mapsi5,,
24,,,,mapsi3,mogpl4,,,
25,mlbda3,,,il3,,,,
26,lrc1,mlbda4,,bima1,mapsi4,il1,,
27,lrc1,mlbda3,,mapsi2,mogpl3,il1,,
28,lrc2,mlbda3,,mapsi1,mogpl3,il3,,
29,lrc2,mlbda1,,model1,mapsi4,il5,,
30,lrc2,mlbda2,,complex2,mapsi4,mogpl3,,
31,lrc2,mlbda4,,mapsi2,mogpl2,il1,,
32,,,,mapsi4,mogpl4,,,
33,lrc3,mlbda4,,il1,,,,
34,lrc3,mlbda1,,model1,mogpl1,il5,,
35,lrc4,mlbda4,,mapsi2,mogpl1,il2,,
36,mlbda1,,,model1,mapsi5,il4,,
37,lrc1,mlbda3,,mapsi4,mogpl3,il1,,
