num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,ares3,rtel2,,signal1,mogpl2,noyau3,,
2,ares3,rtel2,,algav1,dlp3,lrcX,,
3,ares3,rtel1,,pr2,mogpl4,il5,,
4,ares1,rtel1,,signal2,mogpl2,pr2,,
5,ares2,rtel2,,archi11,pr3,noyau1,,
6,ares3,rtel1,,mogpl1,mlbda4,il5,,
7,ares2,rtel1,,signal2,pr1,noyau4,,
8,,,,pr2,il3,,,
9,,,,lrc3,il2,,,
10,ares3,rtel1,,mlbda4,lrc3,il5,,
11,ares2,rtel1,,signal2,mogpl1,il5,,
12,ares2,rtel1,,mogpl4,pr1,noyau4,,
13,,,,signal1,il2,,,
14,ares3,rtel2,,dlp2,mlbda4,lrc3,,
15,ares3,rtel2,,algav1,dlp2,mlbda4,,
16,ares3,rtel1,,mlbda4,noyau2,il4,,
17,ares2,rtel2,,signal2,archi11,noyau2,,
18,,,,signal2,dlp1,il2,,
19,,,,signal2,archi11,il2,,
20,ares2,rtel1,,complex1,pr3,noyau4,,
21,ares3,rtel1,,archi12,pr1,noyau3,,
22,,,,signal1,il2,lrc3,,
23,ares3,rtel2,,signal1,archi14,noyau3,,
24,ares2,rtel2,,signal2,archi11,noyau2,,
25,ares2,rtel2,,algav1,dlp1,mogpl4,,
26,ares3,rtel2,,signal1,archi13,noyau1,,
27,ares3,rtel1,,mogpl1,archi14,il4,,
28,ares1,rtel1,,signal2,pr2,noyau4,,
29,,,,signal1,,,,
30,ares1,rtel1,,mlbda3,pr4,noyau2,,
31,ares1,rtel1,,mlbda3,pr3,noyau2,,
32,,,,mogpl3,pr4,mlbda2,,
33,ares3,rtel2,,signal1,archi12,pr2,,
34,ares3,rtel2,,signal1,mogpl3,lrc3,,
35,ares1,rtel1,,bima1,mogpl4,noyau3,,
36,ares3,rtel2,,signal1,archi12,pr2,,
37,ares2,rtel2,,signal2,archi11,noyau1,,
38,ares3,rtel1,,mogpl2,pr1,noyau2,,
39,ares3,rtel1,,lrcX,noyau2,il4,,
40,ares3,rtel1,,mlbda4,mogpl1,il5,,
41,ares2,rtel1,,archi14,pr1,noyau2,,
42,ares1,rtel1,,signal2,mogpl3,pr2,,
43,ares3,rtel1,,pr4,noyau4,il4,,
44,ares2,rtel1,,complex1,pr4,noyau2,,
45,ares1,rtel1,,bima1,signal2,noyau3,,
46,ares2,rtel1,,complex1,pr4,noyau4,,
47,ares3,rtel1,,mogpl1,mlbda4,il5,,
48,ares3,rtel2,,signal1,pr2,noyau1,,
49,ares3,rtel2,,signal1,archi12,pr2,,
50,ares3,rtel1,,mlbda2,mogpl4,noyau4,,
51,ares2,rtel2,,signal2,archi11,noyau1,,
