num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,noyau2,pr1,,dlp3,archi13,ares3,,
2,noyau1,pr2,,dlp3,ares3,il5,,
3,noyau1,pr3,,rtel1,ares3,il4,,
4,noyau2,pr3,,archi11,lrc4,il1,,
5,noyau4,pr3,,mlbda1,lrc3,il3,,
6,noyau4,,,mlbda2,,,,
7,noyau3,pr1,,complex2,algav1,archi14,,
8,noyau1,pr1,,algav3,dlp3,archi13,,
9,noyau2,pr1,,dlp3,algav3,archi14,,
10,noyau1,pr1,,dlp3,archi14,ares3,,
11,noyau4,pr1,,ares2,,,,
12,noyau4,pr3,,rtel1,il4,,,
13,noyau1,pr3,,archi11,ares3,il4,,
14,pr4,,,mlbda2,,,,
15,noyau1,pr4,,algav2,dlp1,ares1,,
16,noyau2,,,dlp1,mlbda2,,,
17,noyau2,pr4,,dlp1,mlbda3,il1,,
18,noyau4,pr3,,mlbda3,il2,lrc3,,
19,noyau4,pr3,,mlbda3,il3,lrc3,,
20,noyau4,pr3,,mobj1,ares1,,,
21,noyau2,pr3,,rtel1,ares2,il5,,
22,noyau1,pr3,,archi11,ares3,il4,,
23,noyau1,pr3,,dlp1,mlbda3,ares1,,
24,noyau1,pr3,,dlp1,mlbda1,il4,,
25,noyau1,pr3,,rtel1,ares2,il5,,
26,noyau1,pr4,,complex1,rtel1,ares2,,
27,noyau4,pr2,,dlp3,algav3,il1,,
28,noyau2,pr3,,mlbda1,il5,lrc4,,
29,,,,mlbda2,,,,
30,pr4,,,mlbda2,lrc3,,,
31,noyau1,pr2,,dlp3,algav2,il5,,
32,noyau1,pr2,,algav3,dlp3,il5,,
33,noyau4,pr3,,algav1,ares1,,,
