num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,model1,,,pr2,archi11,noyau2,ares1,
2,model1,,,complex1,dlp3,mapsi1,noyau4,
3,model1,,,complex2,pr2,ares1,noyau1,
4,model1,,,dlp3,pr1,ares2,noyau4,
5,model1,,,complex1,mapsi2,pr3,mlbda1,
6,model1,,,complex2,dlp2,pr2,ares1,
7,,,,complex1,pr4,ares2,noyau1,
8,model1,,,complex1,mapsi5,archi11,ares2,
9,,,,complex1,archi11,mapsi5,ares2,
10,model1,,,complex1,archi11,mapsi5,ares2,
11,model1,,,complex1,dlp3,ares2,noyau4,
12,model1,,,complex2,archi11,ares1,noyau1,
13,model1,,,complex1,mapsi3,pr3,mlbda1,
14,model1,,,complex2,pr2,noyau4,ares1,
15,model1,,,complex2,pr2,ares1,noyau4,
16,model1,,,complex2,pr2,ares1,noyau4,
17,model1,,,complex1,pr3,mapsi5,ares2,
18,model1,,,complex1,archi11,pr2,noyau2,
19,model1,,,complex1,pr3,mapsi4,noyau4,
20,model1,,,complex2,pr2,ares1,noyau4,
21,model1,,,complex2,mapsi2,pr1,noyau4,
22,model1,,,complex2,pr2,ares1,noyau4,
23,model1,,,complex1,dlp3,pr2,mapsi1,
24,,,,complex1,dlp1,noyau1,,
25,,,,complex1,pr4,mapsi5,ares2,
26,,,,complex1,dlp3,pr2,noyau4,
27,model1,,,dlp3,archi12,pr1,ares2,
