num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,dlp2,algav1,,mlbda1,lrcX,il4,,
2,dlp2,algav2,,pr3,lrc3,il1,,
3,dlp2,algav1,,mlbda3,pr4,il2,,
4,dlp1,algav3,,lrc3,pr3,il1,,
5,dlp1,algav3,,mlbda1,pr4,il4,,
6,dlp1,algav1,,mlbda1,pr4,il4,,
7,dlp3,algav1,,pr2,lrcX,il2,,
8,dlp2,algav2,,lrc3,mogpl4,il2,,
9,dlp1,algav1,,mlbda1,pr4,il4,,
10,dlp1,algav1,,complex2,mogpl1,il4,,
11,dlp1,algav1,,mlbda1,mogpl1,il4,,
12,dlp3,algav1,,mlbda1,il4,noyau4,,
13,dlp1,algav2,,pr4,noyau1,il2,,
14,dlp3,algav2,,lrc3,mlbda1,il5,,
15,dlp2,algav1,,mlbda3,lrcX,il4,,
16,dlp2,algav3,,lrc3,mogpl1,il2,,
17,dlp1,algav1,,mlbda1,pr4,il4,,
18,dlp1,algav3,,pr3,lrc3,il1,,
19,dlp2,algav2,,pr4,noyau1,il4,,
20,dlp1,algav2,,lrc3,pr4,il2,,
21,dlp1,algav1,,mlbda2,pr3,,,
22,dlp1,algav1,,mlbda1,pr4,il4,,
23,dlp2,,,complex1,lrc3,mogpl4,,
24,dlp3,algav2,,noyau4,,,,
25,dlp1,algav3,,,,,,
26,dlp1,algav3,,mlbda2,lrc3,pr4,,
27,dlp3,algav1,,mlbda3,il4,noyau4,,
28,dlp2,,,mlbda3,pr1,,,
29,,,,pr1,,,,
30,algav2,,,mlbda2,,,,
31,dlp2,,,pr1,,,,
32,dlp3,algav2,,il1,lrc3,noyau4,,
33,,,,il3,lrc3,,,
34,algav1,,,model1,,,,
35,dlp3,algav1,,mlbda3,il5,lrc1,,
36,dlp1,algav2,,mogpl4,il2,lrc3,,
37,dlp2,algav3,,mlbda4,lrc3,il1,,
38,dlp3,algav2,,aagb1,il5,lrc3,,
39,dlp1,algav1,,mlbda4,il2,lrc2,,
40,dlp2,algav3,,pr1,mogpl4,lrc3,,
41,dlp1,algav2,,pr4,il4,noyau1,,
42,dlp3,algav2,,mlbda2,,,,
43,algav1,,,mlbda4,pr1,lrc4,,
44,dlp3,algav3,,mlbda1,il5,lrc3,,
45,dlp3,algav1,,mlbda1,il5,lrc2,,
46,dlp2,algav1,,complex2,pr1,noyau3,,
47,dlp1,algav1,,model1,pr1,noyau3,,
48,dlp3,algav1,,mlbda3,il2,noyau4,,
49,dlp1,algav1,,mlbda3,lrc1,il2,,
50,dlp1,algav1,,mlbda4,il4,ares3,,
51,dlp2,algav3,,lrc3,,,,
52,dlp2,algav2,,aagb1,mogpl4,lrc3,,
53,dlp2,algav1,,mlbda4,il2,lrc2,,
54,dlp3,algav2,,noyau2,il1,,,
55,dlp2,algav2,,mlbda2,mapsi1,lrcX,,
56,dlp1,algav1,,pr4,mlbda1,il4,,
57,dlp1,algav1,,mlbda3,pr4,il4,,
58,dlp1,algav1,,mlbda3,il2,lrcX,,
59,dlp3,algav2,,pr2,archi12,il2,,
