num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,dlp3,algav1,,il5,lrc1,mlbda3,,
2,dlp2,algav2,,il2,mogpl4,pr2,,
3,dlp1,algav2,,lrc3,mlbda2,pr3,,
4,dlp3,algav1,,il4,mlbda1,noyau4,,
5,dlp1,algav2,,il4,mlbda1,pr4,,
6,dlp1,algav1,,il2,lrc1,mlbda3,,
7,dlp3,,,il5,mlbda1,,,
8,dlp3,algav2,,archi12,mogplX,pr2,,
9,dlp1,algav2,,lrc3,mogpl1,noyauX,,
10,dlp2,algav1,,il2,mlbda3,pr3,,
11,dlp1,algav1,,il1,lrc4,mlbda4,,
12,dlp1,algav1,,il4,mlbda3,pr4,,
13,dlp3,algav3,,lrc3,mlbda1,pr1,,
14,,,,il4,mlbda1,,,
15,algav3,,,lrc2,mlbda2,,,
16,dlp3,algav1,,,,,,
17,,,,mlbda2,pr3,,,
18,,,,mlbda2,pr4,,,
19,dlp2,algav1,,complex1,mlbda1,pr3,,
20,dlp3,algav2,,archi14,lrc3,mlbda2,,
21,dlp2,algav2,,il1,noyau2,pr4,,
22,dlp3,algav3,,lrc3,,,,
23,dlp3,algav2,,lrc3,noyau4,pr1,,
24,dlp2,algav3,,il4,mlbda1,pr4,,
25,dlp1,algav2,,mlbda2,mogpl4,noyau2,,
26,dlp1,algav1,,il2,mlbda3,pr3,,
27,dlp2,algav3,,,,,,
28,dlp3,algav1,,archi14,mogplX,pr1,,
29,dlp3,algav2,,il1,lrc3,noyau4,,
30,dlp1,algav1,,complex2,il4,lrcX,,
31,dlp2,algav3,,complexX,il4,mlbda1,,
32,dlp2,algav3,,il4,mlbda1,pr4,,
33,dlp3,algav1,,mlbda3,noyau4,pr1,,
34,dlp3,algav2,,il5,,,,
35,dlp1,algav2,,il1,mlbda4,mogpl1,,
36,dlp2,algav3,,il1,lrc2,mlbda4,,
37,dlp2,algav3,,mogpl1,,,,
38,algav3,,,mlbda2,,,,
39,algav1,,,mlbda2,noyau4,pr4,,
40,dlp2,algav2,,il1,lrc3,pr4,,
41,dlp2,algav3,,mlbda2,,,,
42,,,,lrc3,mlbda2,pr3,,
43,dlp2,algav3,,il4,mlbda1,pr4,,
44,dlp1,algav3,,il2,lrc3,pr4,,
45,dlp2,algav2,,il1,lrc3,mogpl1,,
46,dlp3,algav1,,mlbda3,noyau4,pr1,,
47,dlp2,algav2,,il1,lrc3,pr4,,
48,dlp3,algav3,,il5,lrc3,mlbda1,,
49,dlp1,algav3,,il1,lrc3,mlbda4,,
50,dlp2,algav3,,il2,lrc3,pr3,,
51,dlp3,algav2,,il1,lrc3,,,
52,dlp2,algav2,,il2,lrc3,mlbda4,,
53,dlp1,algav2,,lrc3,mlbda2,pr4,,
54,dlp1,algav1,,il1,lrc4,mlbda4,,
55,dlp1,algav1,,il2,mlbda3,pr3,,
