num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,vlsi11,archi14,,mobj2,noyau3,pr1,,
2,vlsi11,archi12,,ares1,noyau3,signal2,,
3,vlsi11,archi13,,ares1,esa2,signal2,,
4,vlsi11,,,esa1,noyau3,,,
5,vlsi12,archi13,,esa2,mobj2,signal1,,
6,vlsi12,archi13,,esa1,noyau1,signal1,,
7,vlsi12,archi13,,esa1,mobj1,signal1,,
8,vlsi11,archi13,,noyau1,pr1,signal2,,
9,vlsi12,archi11,,esa1,mobj1,noyau3,,
10,vlsi12,archi11,,esa2,mobj2,noyau3,,
11,vlsi11,archi14,,noyau1,pr1,signal2,,
12,vlsi11,archi12,,noyau3,pr1,signal2,,
13,vlsi12,archi11,,ares3,esa2,noyau3,,
14,vlsi11,archi13,,ares1,esa2,mobj2,,
15,vlsi12,archi12,,esa1,pr2,signal1,,
16,vlsi11,archi14,,ares1,mobj1,pr2,,
17,vlsi11,archi13,,ares1,esaX,mobjX,,
18,vlsi11,archi13,,esa2,pr1,signal2,,
19,vlsi12,archi11,,esa2,mobj2,noyau3,,
20,vlsi11,archi14,,noyau2,,,,
21,vlsi11,archi13,,esa2,pr1,signal2,,
22,vlsi12,archi12,,ares2,mobj2,signal1,,
23,vlsi11,archi12,,,,,,
24,vlsi11,,,ares2,esa2,,,
25,vlsi11,archi12,,pr1,signal2,,,
26,vlsi11,archi14,,ares1,mobj1,signal2,,
27,vlsi12,archi13,,esa1,noyau2,signal1,,
28,vlsi12,archi14,,mobj2,noyau2,signal1,,
29,vlsi11,archi13,,ares3,esa2,pr1,,
30,,,,mobj1,pr1,signal1,,
31,vlsi11,archi14,,mobj1,pr1,signal2,,
32,vlsi12,archi11,,ares3,esa2,noyau3,,
33,vlsi12,archi13,,esa1,noyau1,signal1,,
34,vlsi12,archi12,,ares2,mobj2,signal1,,
35,vlsi11,archi13,,esa1,mobj1,pr4,,
36,archi13,,,mobj2,noyau2,signal1,,
37,vlsi12,archi14,,mobj2,noyau3,signal1,,
38,vlsi12,archi13,,esa1,mobj1,signal1,,
39,vlsi12,archi13,,esa1,mobj1,signal1,,
40,,,,ares2,esa2,signal2,,
41,archi13,,,esa1,mobj1,signal1,,
42,vlsi12,archi13,,esa1,mobj1,signal1,,
43,vlsi11,archi13,,ares1,esa2,mobj2,,
44,vlsi11,archi14,,mobj1,,,,
45,archi11,,,esa1,mobj1,noyau3,,
46,vlsi12,archi14,,mobj2,pr2,signal1,,
47,vlsi12,archi13,,esa1,mobj1,signal1,,
48,vlsi11,archi13,,ares1,esa2,mobj2,,
49,vlsi12,archi12,,esa1,noyau3,signal1,,
50,vlsi12,archi11,,ares2,esa2,mobj2,,
