num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,maths4m0621,mapsi5,aagb1,,,,,
2,maths4m0621,mapsi2,aagb1,bima1,lrc4,,,
3,maths4m0621,mapsi4,aagb1,complex2,il5,,,
4,maths4m0621,mapsi2,aagb1,mlbdaX,mogpl2,,,
5,maths4m0621,mapsi2,aagb1,bima1,,,,
6,maths4m0621,mapsi5,aagb1,,,,,
7,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
8,maths4m0621,mapsi4,aagb1,bimaX,il5,,,
9,maths4m0621,mapsi5,aagb1,bimaX,il3,,,
10,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
11,maths4m0621,aagb1,,mogpl2,,,,
12,maths4m0621,mapsi4,aagb1,il5,lrc4,,,
13,mapsi1,,,lrc2,mogpl3,,,
14,maths4m0621,mapsi2,aagb1,bima1,mogpl4,,,
15,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
16,maths4m0621,mapsi3,aagb1,lrc4,mogpl2,,,
17,maths4m0621,mapsi5,aagb1,complex2,il3,,,
18,maths4m0621,aagb1,,il3,mogpl2,,,
19,maths4m0621,,,complex2,lrc3,,,
20,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
21,maths4m0621,mapsi3,aagb1,complex2,mogpl2,,,
22,mapsi4,aagb1,,complex1,,,,
23,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
24,mapsi5,aagb1,,il3,lrc2,,,
25,maths4m0621,mapsi5,aagb1,bimaX,il3,,,
