num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mogpl2,lrc2,,bimaX,complex1,mapsi1,,
2,mogpl2,lrc2,,complex1,ilX,mlbda4,,
3,mogpl3,lrc3,,,,,,
4,mogpl2,lrc4,,aagb1,mapsi4,mlbdaX,,
5,mogpl2,lrc2,,complex1,mapsi1,mlbda4,,
6,mogpl3,lrc2,,complex1,mapsi1,mlbda4,,
7,mogpl1,lrc4,,il5,mapsi3,mlbda1,,
8,mogpl3,lrc2,,bimaX,complex1,mapsi1,,
9,mogpl3,,,complexX,il4,mlbda3,,
10,mogpl3,lrc1,,il3,mapsi1,mlbda4,,
11,mogpl4,lrc2,,bima1,complex1,mapsi2,,
12,mogpl4,lrc2,,complex1,mapsi5,mlbda1,,
13,mogpl3,lrc2,,complexX,il1,mapsi2,,
14,mogpl3,lrc2,,complex1,mapsi4,mlbda4,,
15,mogpl1,lrc3,,complex1,mlbda1,,,
16,mogpl2,lrc2,,complex1,mapsi1,mlbda4,,
17,mogpl1,lrc4,,il2,mapsi5,mlbda4,,
18,mogpl1,lrc4,,complexX,il3,mapsi5,,
19,mogpl2,lrc2,,complex1,mapsi4,mlbda4,,
20,mogpl3,lrc1,,complex1,mapsi4,mlbda1,,
21,mogpl2,,,aagb1,mapsi4,mlbdaX,,
22,mogpl3,lrc4,,,,,,
23,mogpl3,,,mapsi1,,,,
24,,,,bima1,complex2,mapsi2,,
25,mogpl2,lrc2,,complex2,mapsi3,mlbda2,,
26,mogpl4,lrc1,,il5,mapsi2,mlbda3,,
27,mogpl4,lrc1,,bima1,complex1,mapsi2,,
28,mogpl1,lrc4,,bima1,il3,mapsi1,,
29,mogpl3,lrc1,,complex1,mapsi4,mlbda4,,
30,mogpl1,lrc4,,bima1,mapsi1,mlbda2,,
31,mogpl3,lrc2,,complex1,mapsi4,mlbda4,,
32,mogpl1,lrc4,,bima1,mapsi4,mlbda2,,
33,mogpl1,lrc3,,complex2,ilX,mlbda2,,
34,mogpl1,lrc4,,bima1,mapsi1,mlbda2,,
35,mogpl1,lrc4,,bima1,mapsi4,mlbda2,,
36,mogpl4,lrc2,,aagb1,il5,mapsi3,,
37,,,,complex2,mapsi5,,,
38,mogpl2,lrc1,,complex2,mapsi2,mlbda2,,
39,mogpl2,lrc2,,complex2,il3,mapsiX,,
40,mogpl2,lrc2,,aagb1,complex1,mapsi2,,
41,mogpl2,lrc3,,complex2,il3,mapsiX,,
42,mogpl3,,,il4,,,,
43,mogpl2,lrc2,,complex2,mapsi3,mlbda2,,
44,mogpl4,lrc2,,bima1,complex1,mapsi2,,
45,mogpl2,lrc2,,il1,mapsi3,mlbda3,,
