num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mapsi1,bima1,,il4,model1,mogpl1,,
2,mapsi2,bima1,,il1,lrc2,model1,,
3,mapsi2,bima1,,algavX,complex1,model1,,
4,mapsi2,bima1,,complex1,lrc2,model1,,
5,mapsi4,bima1,,lrc1,model1,,,
6,mapsi1,bima1,,algav2,complexX,lrc1,,
7,mapsi4,bima1,,il2,lrc2,model1,,
8,,,,algav1,model1,mogpl1,,
9,mapsi1,bima1,,il3,lrc4,mogpl1,,
10,mapsi4,bima1,,complex1,model1,mogpl1,,
11,mapsi4,bima1,,complex1,ilX,lrc1,,
12,mapsi2,bima1,,complex1,lrc1,mogpl4,,
13,mapsi2,bima1,,il1,lrc1,model1,,
14,mapsi4,bima1,,complex2,il4,mogpl1,,
15,mapsi1,bima1,,algav2,complexX,il4,,
