num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,rtel2,ares3,,archi12,noyau3,pr3,,
2,rtel2,ares3,,archi11,mogpl4,noyau3,,
3,rtel2,ares2,,mogpl3,noyau2,signal1,,
4,rtel2,,,,,,,
5,rtel2,ares3,,mogpl2,noyau2,signal1,,
6,rtel2,ares3,,archi12,pr2,signal1,,
7,rtel2,ares3,,archi11,mogpl4,noyau2,,
8,rtel1,ares2,,archi14,noyau2,pr1,,
9,rtel2,ares3,,archi12,mogpl4,noyau3,,
10,rtel1,ares1,,noyau4,pr2,signal2,,
11,rtel1,ares3,,mogpl3,noyau3,pr4,,
12,rtel1,ares1,,noyau4,pr2,signal2,,
13,rtel1,ares1,,noyau4,pr2,signal2,,
14,rtel2,ares3,,archi12,pr2,signal1,,
15,rtel1,ares1,,archi12,mogpl4,pr2,,
16,rtel2,,,noyau2,,,,
17,rtel1,ares3,,mogpl3,noyau2,pr1,,
18,rtel2,ares2,,mogpl2,noyau2,signal1,,
19,rtel1,ares3,,mogpl3,noyau2,pr2,,
20,ares2,,,pr1,signal1,,,
21,rtel2,ares2,,archi14,noyau2,signal1,,
22,rtel2,ares2,,archi11,noyau2,pr3,,
23,rtel2,ares2,,mogpl3,noyau2,signal1,,
24,rtel2,ares3,,mogpl3,noyau3,signal1,,
25,rtel1,ares3,,mogpl3,noyau2,pr2,,
26,rtel1,ares3,,archi13,noyau2,pr1,,
27,,,,signal1,,,,
28,rtel2,ares3,,archi14,noyau3,signal1,,
29,ares2,,,mogpl3,signal2,,,
30,rtel2,ares3,,archi13,mogpl1,signal1,,
31,rtel1,ares1,,archi14,pr2,signal2,,
32,ares1,,,pr4,,,,
33,rtel2,ares3,,archi11,mogpl4,noyau3,,
34,rtel1,ares1,,mogpl2,pr2,signal2,,
35,rtel2,ares3,,archi13,mogpl4,noyau2,,
36,rtel2,ares2,,archi11,mogpl4,noyau1,,
37,rtel1,ares1,,noyau4,pr2,signal2,,
38,rtel1,ares1,,noyau4,pr2,signal2,,
39,rtel1,ares2,,mogpl4,noyau4,pr1,,
40,rtel1,ares1,,archi12,pr2,signal2,,
41,rtel1,ares2,,complex1,mogpl2,noyau2,,
42,rtel1,ares1,,mogpl3,pr2,signal2,,
43,rtel1,ares1,,noyau4,pr2,signal2,,
44,rtel1,ares2,,complex1,mogpl3,pr4,,
45,rtel1,ares1,,noyau4,pr2,signal2,,
46,rtel2,ares3,,archi12,pr2,signal1,,
47,rtel2,ares2,,mogpl2,noyau1,signal1,,
48,rtel2,ares3,,archi13,noyau2,signal1,,
49,rtel1,ares2,,archi12,mogpl4,pr1,,
50,rtel2,ares3,,archi12,mogpl4,noyau3,,
