num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mlbda2,lrc4,,bima1,mogpl1,,,
2,mlbda3,lrc2,,il1,mapsi4,mogpl3,,
3,mlbda2,lrc2,,complex2,mapsi5,model1,,
4,mlbda4,,,complex1,,,,
5,mlbda3,lrc3,,bimaX,il5,mogpl1,,
6,mlbda1,lrc2,,bimaX,il5,model1,,
7,,,,il4,mapsi1,,,
8,mlbda2,lrc4,,bimaX,mapsi1,mogpl1,,
9,mlbda1,lrc1,,il3,mapsi5,model1,,
10,lrc1,,,il1,mapsi5,model1,,
11,mlbda4,lrc1,,il1,mapsi3,,,
12,mlbda1,lrc2,,il3,mapsi5,model1,,
13,,,,mapsi1,mogpl2,,,
14,mlbda2,lrc2,,complex2,mapsi5,model1,,
15,mlbda4,lrc1,,il3,mapsi1,mogpl3,,
16,mlbda4,lrc2,,il3,mapsi1,mogpl3,,
17,mlbda1,lrc1,,il5,mapsi3,model1,,
18,mlbda4,lrc4,,il3,mapsi1,mogpl1,,
19,mlbda2,lrc4,,bima1,mapsi1,mogpl1,,
20,lrc3,,,mogpl3,,,,
21,mlbda2,lrc3,,,,,,
22,mlbda3,lrc1,,il3,mapsi1,mogpl2,,
23,mlbda1,lrc2,,complex1,mapsi5,mogpl4,,
24,mlbda1,lrc3,,il5,model1,mogpl1,,
25,mlbda1,lrc1,,il5,mapsi3,model1,,
26,mlbda4,lrc2,,il3,mapsi1,mogpl2,,
27,mlbda1,lrc1,,il5,mapsi4,model1,,
28,mlbda3,lrc1,,il1,mapsi3,mogpl2,,
29,mlbda3,,,il5,mogpl1,,,
30,mlbda4,lrc4,,il1,mapsi4,mogpl1,,
31,mlbda4,lrc2,,bima1,il1,,,
32,mlbda1,lrc1,,complex1,mapsi3,mogpl3,,
33,,,,il4,mapsi1,mogpl1,,
34,mlbda3,lrc2,,il5,mapsi1,mogpl4,,
35,,,,complex2,il5,,,
36,mlbda4,lrc4,,il1,mapsi4,mogpl1,,
37,mlbda1,lrc1,,il3,mapsi5,model1,,
38,mlbda2,lrc1,,bimaX,mapsi3,mogpl3,,
39,mlbda2,lrc3,,,,,,
40,lrc3,,,complex2,il3,mogpl3,,
