num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,model1,,,archi13,ares1,complex2,mapsi5,
2,model1,,,dlp3,mapsi1,noyau4,pr2,
3,model1,,,complex1,mlbda1,noyau4,pr3,
4,model1,,,ares1,complex2,noyau4,,
5,model1,,,archi11,complex1,noyau2,pr2,
6,model1,,,ares1,complex2,noyau2,,
7,model1,,,ares1,complex2,dlp2,pr2,
8,model1,,,complex1,mapsi4,noyau4,pr2,
9,,,,ares2,complex1,noyau2,pr3,
10,model1,,,ares2,complex1,mapsi5,pr3,
11,model1,,,ares1,complex2,mapsi5,noyau3,
12,model1,,,ares1,dlp1,noyau2,pr2,
13,model1,,,dlp3,mapsi1,noyau4,pr1,
14,model1,,,archi11,ares2,mapsi5,pr1,
15,model1,,,archi11,complex1,noyau1,pr2,
16,,,,ares2,complex1,noyau2,pr4,
17,model1,,,complex1,noyau4,pr3,,
18,model1,,,ares2,complex1,,,
19,model1,,,complex1,dlp3,mapsi1,noyau4,
20,,,,archi11,ares1,complex2,pr2,
21,model1,,,complex2,mapsi5,noyau3,pr1,
22,,,,ares2,complex1,dlp2,pr3,
23,model1,,,complex1,dlp1,noyau2,pr2,
24,model1,,,archi11,mlbda1,noyau1,pr1,
25,model1,,,complex1,mlbda1,noyau4,pr3,
