num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,pr3,noyau2,,ares3,dlp2,mlbda2,,
2,pr2,noyau2,,archi14,dlp3,il2,,
3,pr1,noyau1,,algav3,dlp2,mlbda1,,
4,pr4,noyau3,,archi12,ares3,il3,,
5,pr4,noyau4,,algav1,il4,mlbda3,,
6,noyau2,,,,,,,
7,pr4,noyau4,,algav2,il4,mlbda1,,
8,pr4,noyau1,,ares3,dlp2,il4,,
9,pr1,noyau1,,archi11,ares3,mlbda4,,
10,pr3,noyau4,,algav1,il4,mlbda3,,
11,pr4,noyau2,,ares3,dlp1,il4,,
12,,,,mlbda4,,,,
13,pr2,noyau2,,il5,,,,
14,pr3,noyau1,,algav2,dlp2,mlbda1,,
15,pr2,noyau2,,archi14,dlp3,il1,,
16,pr3,noyau1,,algav3,dlp2,mlbda2,,
17,pr3,noyau2,,ares1,dlp2,mlbda3,,
18,pr4,noyau1,,dlp2,il1,mlbda3,,
19,noyau3,,,algav2,archi12,,,
20,pr4,noyau2,,algav3,archi13,il2,,
21,pr2,noyau1,,archi14,dlp3,il2,,
22,pr3,noyau4,,algav1,il4,mlbda1,,
23,noyau4,,,dlp3,mlbda3,,,
24,pr4,noyau1,,ares3,dlp2,il4,,
25,pr4,noyau4,,algav1,il2,mlbda3,,
26,pr4,noyau1,,archi11,il2,mlbda3,,
27,pr4,noyau3,,il5,,,,
28,pr4,noyau4,,,,,,
29,pr4,noyau2,,archi11,ares3,mlbda2,,
30,,,,dlp3,il4,mlbda3,,
31,pr2,noyau1,,algav2,dlp3,il5,,
32,pr1,noyau1,,archi14,dlp3,mlbda1,,
33,pr4,noyau2,,ares3,dlp1,il4,,
34,pr1,noyau2,,algav2,archi14,ares2,,
35,pr2,noyau1,,archi14,ares1,dlp3,,
