a,b,c,d,e
vlsi12,esa2,mobj2,signal1,archi13
vlsi12,mobj1,esa1,signal1,archi13
vlsi11,archi12,pr1,noyau4,ares5
vlsi12,mobj1,esa1,signal1,archi13
vlsi12,mobj1,signal1,esa1,archi13
vlsi12,esa1,signal1,mobj1,archi13
vlsi12,archi11,lrc4,mogpl4,noyau2
vlsi12,signal1,mobj2,esa2,archi13
vlsi12,mobj1,signal1,esa1,archi13
vlsi12,signal1,esa2,mobj2,archi13
vlsi12,signal1,esa1,archi12,pr2
vlsi12,esa1,signal1,mobj1,archi13
vlsi12,signal2,esa2,archi11,noyau4
rtel3,ares4,0,0,0
vlsi12,esa2,mobj2,0,0
vlsi12,mobj2,archi11,pr2,noyau3
vlsi12,mobj2,archi11,pr2,noyau3
vlsi12,signal2,archi14,0,0
vlsi12,esa1,archi13,0,0
vlsi12,mobj2,archi11,pr3,noyau3
vlsi11,signal2,archi13,pr1,noyau3
signal2,archi14,il1,0,0
signal2,archi14,0,0,0
archi14,pr2,noyau2,0,0
vlsi12,signal2,archi14,ares4,0
vlsi11,mobj2,archi13,pr1,noyau3
signal1,esa2,0,0,0
vlsi12,mobj2,signal1,esa2,archi13
vlsi11,mobj1,signal2,archi14,ares3
vlsi11,mobj1,archi14,pr3,mlbda3
vlsi12,signal2,archi14,ares4,0
esa1,archi11,0,0,0
vlsi12,mobj1,archi11,ares5,noyau4
vlsi12,mobj2,archi11,pr2,noyau2
vlsi12,mobj1,signal1,esa1,archi13
signal1,archi12,ares5,0,0
vlsi11,archi12,mlbda4,il4,0
vlsi12,signal2,ares4,0,0
vlsi11,mobj2,archi12,ares3,noyau4
vlsi12,signal1,esa2,mobj2,archi13
vlsi12,esa1,mobj1,signal1,archi13
vlsi12,mobj2,esa2,signal1,archi13
vlsi12,archi14,mapsi2,mlbda1,lrc4
vlsi11,archi12,il4,ares5,0
vlsi11,mobj2,archi13,ares3,noyau3
vlsi12,algav3,archi14,mapsi1,noyau4
archi11,mlbda2,ares5,0,0
vlsi12,mobj1,signal1,esa1,archi13
vlsi11,mobj2,archi12,pr4,ares3
vlsi11,esa1,archi12,pr4,noyau4
