a,b,c,d,e
model1,pr2,archi11,noyau2,ares3
model1,complex1,dlp3,mapsi1,noyau4
model1,complex2,pr2,ares3,noyau2
model1,dlp3,pr1,ares4,noyau2
model1,complex1,mapsi4,pr3,mlbda1
model1,complex2,dlp2,pr1,ares4
complex1,pr4,ares4,noyau5,0
model1,complex2,mapsi4,archi13,ares3
complex2,archi14,mapsi4,ares3,0
model1,complex2,archi13,mapsi4,ares3
model1,complex2,dlp2,ares3,noyau4
model1,complex2,archi13,ares3,noyau3
model1,complex1,mapsi2,pr3,mlbda1
model1,complex2,pr1,noyau2,ares4
model1,complex2,pr1,ares4,noyau2
model1,complex2,pr1,ares4,noyau2
model1,complex1,pr3,mapsi2,ares4
model1,complex2,archi11,pr1,noyau4
model1,complex1,pr3,mapsi1,noyau4
model1,complex1,pr3,ares4,noyau2
model1,complex1,mapsi1,pr2,noyau5
model1,complex2,pr2,ares3,noyau5
model1,complex1,dlp1,pr2,mapsi1
complex1,dlp3,noyau4,0,0
complex2,pr1,mapsi2,ares4,0
complex1,dlp1,pr2,noyau2,0
model1,dlp3,archi12,pr1,ares4
